location_key,latitude,longitude
BADEGADAM_KATEKALYAN,18.71118,81.66386
KODENAR_KUWAKONDA,18.6556943,81.2584123
MAHARAHAURNAR_KUWAKONDA,18.657998,81.396467
ARANPUR_KUWAKONDA,18.5010831,81.3071338
PAHURNAR_GEEDAM,19.0958215,81.3022079
TUMRIGUNDA_GEEDAM,19.14246,81.30286
POTALI_KUWAKONDA,18.47907,81.36865
JABELI_KUWAKONDA,18.553372,81.3807921
HALBARAS_KUWAKONDA,18.7157923,81.4464466
ARBE_KUWAKONDA,,
GHOTPAL_GEEDAM,19.0133241,81.3967291
MAHARAHAURNAR_KUWAKONDA,18.657998,81.396467
KUTREM_KUWAKONDA,18.57719,81.3009509
MAHARAKARKA_KATEKALYAN,18.6654578,81.4560901
TANELI_KUWAKONDA,18.5339739,81.2838838
GAMAWADA_DANTEWADA,18.81034,81.30925
CHIKPAL_KATEKALYAN,18.7525542,81.7051729
KARLI_GEEDAM,18.9548043,81.3568468
GADHMIRI_KUWAKONDA,18.76601,81.42969
MAILAWADA_KUWAKONDA,18.7045948,81.4396935
KALEPAL_KUWAKONDA,18.6257199,81.3362045
KODENAR_GEEDAM,18.6556943,81.2584123
MAHARAHAURNAR_KUWAKONDA,18.657998,81.396467
METAPAL_DANTEWADA,18.8696207,81.5419006
TUDPARAS_DANTEWADA,18.88725,81.31403
SAMELI_KUWAKONDA,18.5561262,81.347042
REVALI_KUWAKONDA,18.53194,81.38982
BADE BACHELI_DANTEWADA,18.6991296,81.275974
BURGUM_KUWAKONDA,18.5060915,81.4006128
NEELAVAYA_KUWAKONDA,18.72270,81.42098
BADEGUDRA_KATEKALYAN,18.6984622,81.4898799
GUMIYAPAL_DANTEWADA,18.5634486,81.2736493
TELAM_KATEKALYAN,18.7440872,81.564277
KORIRAS_KATEKALYAN,18.6575072,81.4088791
PHULPAD_KUWAKONDA,18.61418,81.39352
NERLI_DANTEWADA,18.7288115,81.2657886
GUTOLI_GEEDAM,19.039705,81.2980911
SAMELI_KUWAKONDA,18.5561262,81.347042
RENGANAR_KUWAKONDA,18.7898653,81.397788
MATHADI_KATEKALYAN,18.830565,81.5848724
TETAM_KATEKALYAN,18.7500394,81.5653143
KODENAR_KUWAKONDA,18.6556943,81.2584123
FUNDRI_GEEDAM,19.0054775,81.1207302
MANGNAR_DANTEWADA,19.1890166,81.3528443
TELAM_KATEKALYAN,18.7440872,81.564277
ARANPUR_KUWAKONDA,18.5010831,81.3071338
TOYLANKA_DANTEWADA,18.8000857,81.4870681
NEELAVAYA_KUWAKONDA,18.72270,81.42098
NERLI_DANTEWADA,18.7288115,81.2657886
